generation,best_fitness,run_id,experiment
48,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
49,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
50,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
51,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
0,99.4506172839506,Fixed_Structure_Baseline_trial_0,phase2_ablation
1,99.4506172839506,Fixed_Structure_Baseline_trial_0,phase2_ablation
2,100.92900302114803,Fixed_Structure_Baseline_trial_0,phase2_ablation
3,100.92900302114803,Fixed_Structure_Baseline_trial_0,phase2_ablation
4,100.92900302114803,Fixed_Structure_Baseline_trial_0,phase2_ablation
5,108.08821034775234,Fixed_Structure_Baseline_trial_0,phase2_ablation
6,117.53813017751479,Fixed_Structure_Baseline_trial_0,phase2_ablation
7,117.53813017751479,Fixed_Structure_Baseline_trial_0,phase2_ablation
8,128.04931360789016,Fixed_Structure_Baseline_trial_0,phase2_ablation
9,136.83915217909026,Fixed_Structure_Baseline_trial_0,phase2_ablation
10,141.9516129032258,Fixed_Structure_Baseline_trial_0,phase2_ablation
11,141.9516129032258,Fixed_Structure_Baseline_trial_0,phase2_ablation
12,142.97857142857143,Fixed_Structure_Baseline_trial_0,phase2_ablation
13,148.15930599369085,Fixed_Structure_Baseline_trial_0,phase2_ablation
14,148.15930599369085,Fixed_Structure_Baseline_trial_0,phase2_ablation
15,148.15930599369085,Fixed_Structure_Baseline_trial_0,phase2_ablation
16,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
17,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
18,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
19,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
20,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
21,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
22,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
23,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
24,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
25,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
26,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
27,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
28,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
29,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
30,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
31,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
32,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
33,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
34,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
35,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
36,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
37,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
38,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
39,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
40,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
41,181.79041587136328,Fixed_Structure_Baseline_trial_0,phase2_ablation
42,181.79041587136328,Fixed_Structure_Baseline_trial_0,phase2_ablation
43,181.79041587136328,Fixed_Structure_Baseline_trial_0,phase2_ablation
0,2.5523410345532582,Fixed_Structure_Baseline_trial_1,phase2_ablation
1,83.50949859856742,Fixed_Structure_Baseline_trial_1,phase2_ablation
2,85.82993197278911,Fixed_Structure_Baseline_trial_1,phase2_ablation
3,104.76284584980237,Fixed_Structure_Baseline_trial_1,phase2_ablation
4,104.76284584980237,Fixed_Structure_Baseline_trial_1,phase2_ablation
5,104.76284584980237,Fixed_Structure_Baseline_trial_1,phase2_ablation
6,104.76284584980237,Fixed_Structure_Baseline_trial_1,phase2_ablation
7,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
8,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
9,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
10,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
11,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
12,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
13,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
14,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
15,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
16,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
17,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
18,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
19,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
20,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
21,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
22,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
23,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
24,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
25,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
26,115.33869969040248,Fixed_Structure_Baseline_trial_1,phase2_ablation
27,124.04597107438016,Fixed_Structure_Baseline_trial_1,phase2_ablation
28,124.04597107438016,Fixed_Structure_Baseline_trial_1,phase2_ablation
29,124.04597107438016,Fixed_Structure_Baseline_trial_1,phase2_ablation
30,124.04597107438016,Fixed_Structure_Baseline_trial_1,phase2_ablation
31,124.04597107438016,Fixed_Structure_Baseline_trial_1,phase2_ablation
32,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
33,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
34,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
35,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
36,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
37,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
38,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
39,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
40,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
41,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
42,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
43,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
44,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
45,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
46,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
47,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
48,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
49,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
50,175.41952434816224,Fixed_Structure_Baseline_trial_1,phase2_ablation
51,175.56600678114404,Fixed_Structure_Baseline_trial_1,phase2_ablation
52,175.56600678114404,Fixed_Structure_Baseline_trial_1,phase2_ablation
53,175.56600678114404,Fixed_Structure_Baseline_trial_1,phase2_ablation
54,175.56600678114404,Fixed_Structure_Baseline_trial_1,phase2_ablation
55,175.56600678114404,Fixed_Structure_Baseline_trial_1,phase2_ablation
56,175.56600678114404,Fixed_Structure_Baseline_trial_1,phase2_ablation
0,65.9496855345912,Fixed_Structure_Baseline_trial_2,phase2_ablation
1,82.83898305084746,Fixed_Structure_Baseline_trial_2,phase2_ablation
2,82.83898305084746,Fixed_Structure_Baseline_trial_2,phase2_ablation
3,82.83898305084746,Fixed_Structure_Baseline_trial_2,phase2_ablation
4,82.83898305084746,Fixed_Structure_Baseline_trial_2,phase2_ablation
5,113.89639432549586,Fixed_Structure_Baseline_trial_2,phase2_ablation
6,113.89639432549586,Fixed_Structure_Baseline_trial_2,phase2_ablation
7,115.89347910216719,Fixed_Structure_Baseline_trial_2,phase2_ablation
8,115.89347910216719,Fixed_Structure_Baseline_trial_2,phase2_ablation
9,115.89347910216719,Fixed_Structure_Baseline_trial_2,phase2_ablation
10,115.89347910216719,Fixed_Structure_Baseline_trial_2,phase2_ablation
11,115.89347910216719,Fixed_Structure_Baseline_trial_2,phase2_ablation
12,115.89347910216719,Fixed_Structure_Baseline_trial_2,phase2_ablation
13,115.89347910216719,Fixed_Structure_Baseline_trial_2,phase2_ablation
14,115.89347910216719,Fixed_Structure_Baseline_trial_2,phase2_ablation
15,115.89347910216719,Fixed_Structure_Baseline_trial_2,phase2_ablation
16,132.8139293139293,Fixed_Structure_Baseline_trial_2,phase2_ablation
17,133.7878787878788,Fixed_Structure_Baseline_trial_2,phase2_ablation
18,133.7878787878788,Fixed_Structure_Baseline_trial_2,phase2_ablation
19,152.7516902515723,Fixed_Structure_Baseline_trial_2,phase2_ablation
20,152.7516902515723,Fixed_Structure_Baseline_trial_2,phase2_ablation
21,152.7516902515723,Fixed_Structure_Baseline_trial_2,phase2_ablation
22,152.7516902515723,Fixed_Structure_Baseline_trial_2,phase2_ablation
23,152.7516902515723,Fixed_Structure_Baseline_trial_2,phase2_ablation
24,154.50922587486744,Fixed_Structure_Baseline_trial_2,phase2_ablation
25,154.50922587486744,Fixed_Structure_Baseline_trial_2,phase2_ablation
26,154.50922587486744,Fixed_Structure_Baseline_trial_2,phase2_ablation
27,154.50922587486744,Fixed_Structure_Baseline_trial_2,phase2_ablation
28,154.50922587486744,Fixed_Structure_Baseline_trial_2,phase2_ablation
29,154.50922587486744,Fixed_Structure_Baseline_trial_2,phase2_ablation
30,154.50922587486744,Fixed_Structure_Baseline_trial_2,phase2_ablation
31,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
32,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
33,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
34,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
35,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
36,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
37,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
38,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
39,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
40,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
41,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
42,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
43,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
44,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
45,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
46,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
47,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
48,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
49,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
50,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
51,195.40839951541255,Fixed_Structure_Baseline_trial_2,phase2_ablation
0,8.486394557823132,Simultaneous_Proposed_trial_0,phase2_ablation
1,8.568287526427067,Simultaneous_Proposed_trial_0,phase2_ablation
2,19.95990836197022,Simultaneous_Proposed_trial_0,phase2_ablation
3,63.77959866220736,Simultaneous_Proposed_trial_0,phase2_ablation
4,79.62345679012346,Simultaneous_Proposed_trial_0,phase2_ablation
5,79.62345679012346,Simultaneous_Proposed_trial_0,phase2_ablation
6,79.62345679012346,Simultaneous_Proposed_trial_0,phase2_ablation
7,79.62345679012346,Simultaneous_Proposed_trial_0,phase2_ablation
8,87.77838989998361,Simultaneous_Proposed_trial_0,phase2_ablation
9,87.77838989998361,Simultaneous_Proposed_trial_0,phase2_ablation
10,87.77838989998361,Simultaneous_Proposed_trial_0,phase2_ablation
11,97.54084944655588,Simultaneous_Proposed_trial_0,phase2_ablation
12,106.23636363636363,Simultaneous_Proposed_trial_0,phase2_ablation
13,106.23636363636363,Simultaneous_Proposed_trial_0,phase2_ablation
14,106.23636363636363,Simultaneous_Proposed_trial_0,phase2_ablation
15,106.23636363636363,Simultaneous_Proposed_trial_0,phase2_ablation
16,107.33018867924528,Simultaneous_Proposed_trial_0,phase2_ablation
17,107.33018867924528,Simultaneous_Proposed_trial_0,phase2_ablation
18,107.54501607717042,Simultaneous_Proposed_trial_0,phase2_ablation
19,118.12107248651796,Simultaneous_Proposed_trial_0,phase2_ablation
20,123.7982180293501,Simultaneous_Proposed_trial_0,phase2_ablation
21,127.73566308243727,Simultaneous_Proposed_trial_0,phase2_ablation
22,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
23,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
24,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
25,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
26,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
27,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
28,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
29,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
30,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
31,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
32,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
33,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
